model_id,rank,ensemble_weight,type,cost,duration
339,1,0.06,lda,0.4115729421352893,1.0791428089141846
268,2,0.06,lda,0.41320293398533003,0.9282646179199219
139,3,0.06,lda,0.41401792991035047,1.4191460609436035
314,5,0.08,lda,0.41401792991035047,2.2703397274017334
359,4,0.02,lda,0.41401792991035047,9.410308122634888
209,9,0.2,random_forest,0.4148329258353708,7.288971185684204
308,10,0.02,lda,0.4148329258353708,1.0720245838165283
313,11,0.04,lda,0.4148329258353708,0.7741179466247559
325,6,0.02,lda,0.4148329258353708,0.5176293849945068
441,8,0.04,lda,0.4148329258353708,2.8023695945739746
456,7,0.04,lda,0.4148329258353708,2.05534029006958
183,17,0.04,lda,0.4156479217603912,3.0249881744384766
302,16,0.02,lda,0.4156479217603912,1.7556653022766113
350,13,0.04,lda,0.4156479217603912,8.72191047668457
356,12,0.02,lda,0.4156479217603912,0.4835684299468994
503,15,0.06,lda,0.4156479217603912,1.0329556465148926
579,14,0.02,lda,0.4156479217603912,0.9553577899932861
182,18,0.04,lda,0.41646291768541155,0.5843980312347412
349,20,0.02,lda,0.41646291768541155,10.604761362075806
479,19,0.02,lda,0.41646291768541155,2.776688814163208
130,23,0.02,lda,0.417277913610432,0.5317320823669434
171,22,0.02,lda,0.417277913610432,1.5252704620361328
373,21,0.04,lda,0.417277913610432,8.843256950378418
