model_id,rank,ensemble_weight,type,cost,duration
32,1,0.04,libsvm_svc,0.3988235294117647,2.4833731651306152
55,2,0.04,gradient_boosting,0.4,26.60755157470703
68,3,0.02,liblinear_svc,0.4035294117647059,0.5173609256744385
93,4,0.02,random_forest,0.4041176470588236,18.739572286605835
124,5,0.02,random_forest,0.4052941176470588,50.00343728065491
86,6,0.02,passive_aggressive,0.40647058823529414,0.8425273895263672
132,8,0.12,liblinear_svc,0.4117647058823529,1.6208560466766357
133,7,0.06,extra_trees,0.4117647058823529,11.090222597122192
87,9,0.04,liblinear_svc,0.4123529411764706,0.6784007549285889
38,10,0.04,liblinear_svc,0.4135294117647059,1.3180019855499268
80,11,0.02,gradient_boosting,0.41470588235294115,45.39038276672363
114,12,0.04,liblinear_svc,0.4158823529411765,0.4856538772583008
20,13,0.16,adaboost,0.4170588235294118,10.364282846450806
39,14,0.1,adaboost,0.41764705882352937,76.9108681678772
73,15,0.02,passive_aggressive,0.41764705882352937,0.47254490852355957
72,16,0.16,passive_aggressive,0.41823529411764704,0.5258092880249023
66,17,0.04,random_forest,0.42117647058823526,17.401719093322754
2,19,0.02,random_forest,0.4223529411764706,4.37765645980835
40,18,0.02,gradient_boosting,0.4223529411764706,29.614699840545654
