model_id,rank,ensemble_weight,type,cost,duration
261,1,0.02,lda,0.4001629991850041,0.4750339984893799
283,2,0.02,lda,0.4001629991850041,1.7136590480804443
263,3,0.04,lda,0.40179299103504484,0.9321339130401611
252,4,0.02,lda,0.40505297473512636,1.7120723724365234
238,5,0.06,lda,0.4083129584352079,0.5361952781677246
258,6,0.02,lda,0.4083129584352079,0.49445295333862305
194,7,0.02,random_forest,0.41401792991035047,2.082895278930664
167,8,0.5,passive_aggressive,0.41890790546047274,3.2214667797088623
155,9,0.02,random_forest,0.42216788916055414,4.551431655883789
35,10,0.02,qda,0.4229828850855746,1.3088634014129639
31,11,0.22,random_forest,0.4237978810105949,2.854193687438965
297,12,0.04,extra_trees,0.42461287693561534,1.1638011932373047
