model_id,rank,ensemble_weight,type,cost,duration
244,1,0.16,passive_aggressive,0.4408799266727773,0.5418312549591064
85,2,0.1,random_forest,0.44179651695692024,3.3079729080200195
33,3,0.02,k_nearest_neighbors,0.4463794683776352,1.218749761581421
228,4,0.02,lda,0.4463794683776352,1.5423424243927002
159,5,0.02,k_nearest_neighbors,0.44729605866177824,1.2875025272369385
71,6,0.02,random_forest,0.44821264894592117,3.046630859375
260,7,0.02,lda,0.44821264894592117,0.6344497203826904
23,8,0.02,gradient_boosting,0.4518790100824931,1.4488306045532227
16,9,0.04,lda,0.45279560036663613,1.9706926345825195
195,10,0.02,random_forest,0.45279560036663613,3.537217855453491
303,11,0.08,gradient_boosting,0.4546287809349221,12.73225998878479
316,12,0.16,qda,0.45646196150320806,0.5325496196746826
318,13,0.06,lda,0.45646196150320806,0.45330214500427246
138,14,0.22,liblinear_svc,0.4573785517873511,0.515155553817749
275,15,0.02,liblinear_svc,0.4573785517873511,0.6524908542633057
150,16,0.02,qda,0.458295142071494,0.691521406173706
