model_id,rank,ensemble_weight,type,cost,duration
56,1,0.04,random_forest,0.4408799266727773,2.258587598800659
167,2,0.06,random_forest,0.4491292392300642,2.2383310794830322
53,3,0.04,random_forest,0.45279560036663613,9.676291227340698
83,4,0.02,random_forest,0.45646196150320806,7.944331645965576
139,5,0.02,lda,0.45921173235563706,0.5532481670379639
156,6,0.02,adaboost,0.46012832263978,6.523270845413208
158,7,0.04,random_forest,0.46012832263978,2.145052433013916
168,8,0.02,random_forest,0.461044912923923,2.6164562702178955
110,9,0.68,sgd,0.462878093492209,0.791844367980957
147,10,0.02,random_forest,0.462878093492209,3.3605093955993652
17,11,0.02,lda,0.465627864344638,1.2916150093078613
111,12,0.02,lda,0.4665444546287809,0.9491541385650635
