model_id,rank,ensemble_weight,type,cost,duration
148,1,0.06,random_forest,0.4344637946837764,2.2690021991729736
151,2,0.02,random_forest,0.4353803849679193,2.16760516166687
6,3,0.04,random_forest,0.4399633363886343,2.928345203399658
115,4,0.12,random_forest,0.4399633363886343,2.4033708572387695
286,5,0.04,random_forest,0.44179651695692024,3.3161704540252686
117,6,0.04,random_forest,0.4427131072410633,3.6340222358703613
124,7,0.02,random_forest,0.4436296975252062,1.979372262954712
41,8,0.14,gradient_boosting,0.44454628780934924,1.769545316696167
356,9,0.02,random_forest,0.44546287809349217,2.4212498664855957
160,10,0.02,random_forest,0.4463794683776352,5.851890802383423
364,11,0.02,random_forest,0.4463794683776352,3.165656328201294
218,12,0.12,lda,0.44821264894592117,0.8325819969177246
266,13,0.06,random_forest,0.44821264894592117,2.157691717147827
343,14,0.02,random_forest,0.4518790100824931,5.634563207626343
383,15,0.02,random_forest,0.4518790100824931,2.870908260345459
292,16,0.1,random_forest,0.45279560036663613,9.17209506034851
256,17,0.1,liblinear_svc,0.45371219065077906,2.1815803050994873
236,19,0.02,random_forest,0.4546287809349221,68.05957412719727
278,18,0.02,passive_aggressive,0.4546287809349221,0.446704626083374
