model_id,rank,ensemble_weight,type,cost,duration
73,1,0.08,random_forest,0.4518790100824931,113.17903852462769
61,2,0.06,random_forest,0.45371219065077906,279.376971244812
33,3,0.02,random_forest,0.45554537121906513,117.40842080116272
29,4,0.02,random_forest,0.4573785517873511,3.2177770137786865
37,5,0.02,random_forest,0.458295142071494,217.61297059059143
25,6,0.02,random_forest,0.46196150320806595,10.428583860397339
53,7,0.06,random_forest,0.46196150320806595,82.9475085735321
88,8,0.08,liblinear_svc,0.465627864344638,0.5193641185760498
66,9,0.02,random_forest,0.4683776351970669,9.594104290008545
38,10,0.04,qda,0.4692942254812099,0.6915378570556641
85,11,0.02,random_forest,0.47021081576535284,4.3137078285217285
50,12,0.02,gradient_boosting,0.4720439963336389,1.2537918090820312
28,13,0.02,random_forest,0.47296058661778184,5.690130949020386
45,14,0.02,random_forest,0.47296058661778184,161.97159337997437
58,15,0.46,decision_tree,0.4738771769019249,1.0943925380706787
70,16,0.04,k_nearest_neighbors,0.4775435380384968,3.915741205215454
