,0
Aatrox,0.0
Ahri,2.2204460492503132e-17
Akali,0.0
Akshan,0.0
Alistar,0.001449275362318847
Amumu,0.0
Anivia,0.0
Annie,0.002898550724637694
Aphelios,0.015942028985507294
Ashe,0.0
AurelionSol,0.0
Azir,0.0
Bard,0.0
Belveth,0.0
Blitzcrank,0.023188405797101484
Brand,0.0
Braum,0.01449275362318847
Caitlyn,0.0
Camille,0.001449275362318847
Cassiopeia,0.0
Chogath,0.013043478260869623
Corki,0.0
Darius,0.0
Diana,0.0
Draven,0.0
DrMundo,0.0
Ekko,0.0
Elise,0.001449275362318847
Evelynn,0.0
Ezreal,0.0
Fiddlesticks,0.0
Fiora,0.0
Fizz,0.0
Galio,0.0
Gangplank,0.0
Garen,0.0
Gnar,0.001449275362318847
Gragas,0.004347826086956541
Graves,0.0
Gwen,-0.0014492753623188358
Hecarim,0.0
Heimerdinger,0.0
Illaoi,0.0
Irelia,-0.0014492753623188358
Ivern,0.0
Janna,0.0
JarvanIV,-0.004347826086956508
Jax,-0.0014492753623188358
Jayce,0.004347826086956552
Jhin,0.0
Jinx,-0.015942028985507194
Kaisa,0.0
Kalista,0.0
Karma,0.0
Karthus,0.0
Kassadin,0.0
Katarina,0.0
Kayle,0.0
Kayn,0.0
Kennen,0.001449275362318847
Khazix,0.0
Kindred,0.0
Kled,0.0
KogMaw,0.0
KSante,0.002898550724637694
Leblanc,0.0
LeeSin,1.1102230246251566e-17
Leona,0.0
Lillia,0.0
Lissandra,0.001449275362318847
Lucian,0.001449275362318847
Lulu,0.002898550724637705
Lux,0.0
Malphite,0.001449275362318847
Malzahar,0.0
Maokai,0.004347826086956541
MasterYi,0.0
Milio,0.0
MissFortune,0.0
MonkeyKing,0.010144927536231928
Mordekaiser,0.001449275362318847
Morgana,0.0
Nami,0.00434782608695653
Nasus,0.0
Nautilus,0.0
Neeko,0.0
Nidalee,0.0
Nilah,0.0
Nocturne,0.0
Nunu,0.0
Olaf,1.1102230246251566e-17
Orianna,0.001449275362318847
Ornn,0.0
Pantheon,0.0
Poppy,0.0
Pyke,0.02173913043478264
Qiyana,0.0
Quinn,0.0
Rakan,0.02173913043478266
Rammus,0.0
RekSai,0.0
Rell,0.0
Renata,0.0
Renekton,0.0
Rengar,0.0
Riven,0.0
Rumble,-0.013043478260869523
Ryze,0.0
Samira,0.0
Sejuani,3.3306690738754695e-17
Senna,0.0
Seraphine,-0.0014492753623188248
Sett,0.0
Shaco,0.0
Shen,0.0
Shyvana,0.0
Singed,0.0
Sion,2.2204460492503132e-17
Sivir,0.011594202898550777
Skarner,0.0
Sona,0.0
Soraka,0.0
Swain,0.0
Sylas,0.0
Syndra,0.0
TahmKench,0.001449275362318847
Taliyah,0.0
Talon,0.0
Taric,0.0
Teemo,0.0
Thresh,0.0014492753623188582
Tristana,0.001449275362318847
Trundle,0.0
Tryndamere,0.0
TwistedFate,0.0
Twitch,0.0
Udyr,0.0
Urgot,0.0
Varus,2.2204460492503132e-17
Vayne,0.0
Veigar,0.0
Velkoz,0.0
Vex,0.0
Vi,0.020289855072463815
Viego,0.0
Viktor,0.001449275362318847
Vladimir,0.0
Volibear,0.0
Warwick,0.0
Xayah,-0.01014492753623184
Xerath,0.0
XinZhao,0.0
Yasuo,0.0
Yone,0.001449275362318847
Yorick,0.0
Yuumi,0.0
Zac,0.0
Zed,0.0
Zeri,0.002898550724637694
Ziggs,0.0
Zilean,0.0
Zoe,0.001449275362318847
Zyra,0.0
top_blue_champwr,0.06666666666666671
top_blue_prowr,0.011594202898550777
top_blue_gold,0.013043478260869623
top_blue_kills,0.001449275362318847
top_blue_dmg,0.007246376811594235
top_blue_deaths,0.0
jng_blue_champwr,0.03043478260869571
jng_blue_prowr,0.013043478260869623
jng_blue_gold,0.0
jng_blue_kills,0.005797101449275388
jng_blue_dmg,0.004347826086956541
jng_blue_deaths,0.0
mid_blue_champwr,0.01304347826086959
mid_blue_prowr,0.01449275362318847
mid_blue_gold,0.027536231884057995
mid_blue_kills,0.027536231884057995
mid_blue_dmg,0.027536231884057995
mid_blue_deaths,0.01449275362318847
bot_blue_champwr,0.0014492753623188913
bot_blue_prowr,0.001449275362318847
bot_blue_gold,0.010144927536231928
bot_blue_kills,0.013043478260869623
bot_blue_dmg,0.011594202898550777
bot_blue_deaths,0.008695652173913082
sup_blue_champwr,0.007246376811594246
sup_blue_prowr,0.013043478260869623
sup_blue_gold,0.0
sup_blue_kills,0.0
sup_blue_dmg,0.0
sup_blue_deaths,0.01449275362318847
top_red_champwr,0.015942028985507273
top_red_prowr,0.005797101449275388
top_red_gold,0.004347826086956541
top_red_kills,0.0
top_red_dmg,0.004347826086956541
top_red_deaths,0.004347826086956541
jng_red_champwr,0.020289855072463815
jng_red_prowr,0.010144927536231928
jng_red_gold,0.011594202898550777
jng_red_kills,0.011594202898550777
jng_red_dmg,0.011594202898550777
jng_red_deaths,0.0
mid_red_champwr,0.033333333333333395
mid_red_prowr,0.004347826086956541
mid_red_gold,-0.0028985507246376717
mid_red_kills,-0.0028985507246376717
mid_red_dmg,-0.0028985507246376717
mid_red_deaths,-0.0028985507246376717
bot_red_champwr,0.023188405797101498
bot_red_prowr,0.010144927536231928
bot_red_gold,0.0
bot_red_kills,0.0
bot_red_dmg,0.0
bot_red_deaths,0.0
sup_red_champwr,0.010144927536231918
sup_red_prowr,0.0
sup_red_gold,0.0
sup_red_kills,0.0
sup_red_dmg,0.0
sup_red_deaths,0.0
