model_id,rank,ensemble_weight,type,cost,duration
264,1,0.04,sgd,0.3578431372549019,0.5415608882904053
348,2,0.04,sgd,0.36274509803921573,0.6406912803649902
376,3,0.02,sgd,0.36764705882352944,0.7004144191741943
547,4,0.24,qda,0.37254901960784315,0.45452237129211426
195,6,0.02,gaussian_nb,0.38235294117647056,0.40234875679016113
439,5,0.02,sgd,0.38235294117647056,0.7403919696807861
106,10,0.06,adaboost,0.38725490196078427,2.2335636615753174
230,8,0.02,sgd,0.38725490196078427,7.939675807952881
256,9,0.02,passive_aggressive,0.38725490196078427,0.4396235942840576
525,7,0.02,sgd,0.38725490196078427,0.7267990112304688
6,13,0.02,gradient_boosting,0.3921568627450981,3.4252583980560303
164,11,0.08,random_forest,0.3921568627450981,1.0793614387512207
469,12,0.06,random_forest,0.3921568627450981,1.8654193878173828
25,15,0.04,libsvm_svc,0.3970588235294118,0.5169851779937744
71,14,0.02,mlp,0.3970588235294118,0.6104836463928223
423,16,0.06,lda,0.3970588235294118,0.6282258033752441
475,17,0.08,k_nearest_neighbors,0.3970588235294118,0.46351122856140137
480,18,0.02,extra_trees,0.3970588235294118,0.961859941482544
17,20,0.04,mlp,0.4019607843137255,1.4412932395935059
115,19,0.04,random_forest,0.4019607843137255,1.5411765575408936
185,21,0.04,extra_trees,0.4019607843137255,44.94623923301697
