model_id,rank,ensemble_weight,type,cost,duration
191,1,0.04,gradient_boosting,0.10533333333333328,1.1020677089691162
72,2,0.02,gradient_boosting,0.10799999999999998,1.5377371311187744
134,3,0.04,gradient_boosting,0.10933333333333328,0.5901236534118652
193,4,0.08,gradient_boosting,0.11066666666666669,0.6661117076873779
179,5,0.02,gradient_boosting,0.11199999999999999,0.794440507888794
190,7,0.04,gradient_boosting,0.11599999999999999,0.6906580924987793
197,6,0.02,gradient_boosting,0.11599999999999999,0.6056609153747559
10,8,0.02,gradient_boosting,0.11733333333333329,0.7026007175445557
67,9,0.06,gradient_boosting,0.11733333333333329,1.0734775066375732
85,11,0.06,gradient_boosting,0.12,72.08171439170837
146,10,0.02,gradient_boosting,0.12,0.7456889152526855
71,12,0.02,random_forest,0.1213333333333333,1.7738966941833496
2,13,0.02,random_forest,0.1226666666666667,1.87626051902771
69,16,0.08,lda,0.124,0.38141894340515137
83,18,0.02,gradient_boosting,0.124,1.202117681503296
125,14,0.18,adaboost,0.124,5.16388726234436
129,15,0.08,gradient_boosting,0.124,0.4908335208892822
187,17,0.02,random_forest,0.124,8.056692838668823
16,21,0.02,lda,0.1253333333333333,0.6044518947601318
35,20,0.02,lda,0.1253333333333333,0.39599084854125977
40,19,0.02,gradient_boosting,0.1253333333333333,1.0219933986663818
66,22,0.04,lda,0.128,0.5489535331726074
138,23,0.06,sgd,0.1293333333333333,0.3982100486755371
