model_id,rank,ensemble_weight,type,cost,duration
297,1,0.04,random_forest,0.4005059021922428,4.990303039550781
316,2,0.28,random_forest,0.4005059021922428,8.867174863815308
81,3,0.02,lda,0.40303541315345703,0.47420454025268555
193,4,0.16,random_forest,0.40556492411467115,5.160764217376709
282,5,0.02,lda,0.40640809443507586,0.4408562183380127
49,6,0.02,lda,0.4080944350758853,0.5279653072357178
20,7,0.02,random_forest,0.4089376053962901,1.2195591926574707
289,8,0.08,random_forest,0.4089376053962901,5.430491209030151
338,9,0.02,lda,0.4089376053962901,0.4073185920715332
253,10,0.08,random_forest,0.4097807757166948,4.549899578094482
243,11,0.1,random_forest,0.4106239460370995,3.722960948944092
287,12,0.16,random_forest,0.4106239460370995,4.7105536460876465
