model_id,rank,ensemble_weight,type,cost,duration
908,1,0.14,mlp,0.30211864406779654,0.49132823944091797
706,2,0.12,k_nearest_neighbors,0.31126482213438744,0.583134651184082
455,3,0.24,k_nearest_neighbors,0.31499999999999995,0.3829975128173828
244,4,0.12,mlp,0.3327850877192984,0.4006164073944092
204,5,0.14,lda,0.3339930727362692,0.3812263011932373
443,6,0.02,mlp,0.3343870741131014,0.41533899307250977
754,7,0.12,mlp,0.33551198257080606,0.5213363170623779
196,8,0.02,mlp,0.34224480777728683,0.6009137630462646
261,9,0.02,mlp,0.34224480777728683,0.40395569801330566
265,10,0.02,mlp,0.34224480777728683,0.4056098461151123
287,11,0.02,mlp,0.34224480777728683,0.42365264892578125
482,12,0.02,mlp,0.34224480777728683,0.6689281463623047
