model_id,rank,ensemble_weight,type,cost,duration
449,1,0.04,random_forest,0.18218623481781382,0.8456928730010986
464,31,0.04,random_forest,0.18218623481781382,0.9045774936676025
492,30,0.02,random_forest,0.18218623481781382,0.8806939125061035
500,29,0.02,random_forest,0.18218623481781382,0.8724892139434814
506,28,0.02,random_forest,0.18218623481781382,0.792957067489624
507,27,0.02,random_forest,0.18218623481781382,0.8504469394683838
513,26,0.02,random_forest,0.18218623481781382,0.9224486351013184
520,25,0.02,random_forest,0.18218623481781382,0.9689993858337402
524,24,0.04,random_forest,0.18218623481781382,0.9577746391296387
528,23,0.02,random_forest,0.18218623481781382,0.9392762184143066
533,22,0.04,random_forest,0.18218623481781382,0.8203549385070801
535,21,0.06,random_forest,0.18218623481781382,0.8234467506408691
550,20,0.02,random_forest,0.18218623481781382,0.9247429370880127
554,19,0.02,random_forest,0.18218623481781382,0.9492931365966797
562,18,0.02,random_forest,0.18218623481781382,0.8652448654174805
569,32,0.06,random_forest,0.18218623481781382,0.8564486503601074
570,17,0.04,random_forest,0.18218623481781382,0.8374121189117432
572,15,0.02,random_forest,0.18218623481781382,0.8330492973327637
579,14,0.04,random_forest,0.18218623481781382,0.8720927238464355
582,13,0.04,random_forest,0.18218623481781382,0.845207929611206
588,12,0.02,random_forest,0.18218623481781382,1.0220746994018555
593,11,0.02,random_forest,0.18218623481781382,0.9008193016052246
595,10,0.02,random_forest,0.18218623481781382,0.9517321586608887
597,9,0.04,random_forest,0.18218623481781382,0.9235713481903076
599,8,0.06,random_forest,0.18218623481781382,0.8034265041351318
603,7,0.02,random_forest,0.18218623481781382,0.8346517086029053
608,6,0.06,random_forest,0.18218623481781382,0.795447587966919
609,5,0.04,random_forest,0.18218623481781382,0.8924899101257324
613,4,0.02,random_forest,0.18218623481781382,0.8909597396850586
626,3,0.02,random_forest,0.18218623481781382,0.9083492755889893
634,2,0.02,random_forest,0.18218623481781382,0.9596352577209473
635,16,0.02,random_forest,0.18218623481781382,0.8601226806640625
639,33,0.02,random_forest,0.18218623481781382,0.8725631237030029
