model_id,rank,ensemble_weight,type,cost,duration
675,1,0.02,lda,0.2222222222222222,0.5938868522644043
686,19,0.02,lda,0.2222222222222222,0.5265493392944336
707,20,0.02,lda,0.2222222222222222,0.7625343799591064
710,21,0.04,lda,0.2222222222222222,0.5897736549377441
711,22,0.02,lda,0.2222222222222222,0.5902633666992188
723,23,0.06,lda,0.2222222222222222,0.5735266208648682
724,24,0.02,lda,0.2222222222222222,0.6041879653930664
729,26,0.02,lda,0.2222222222222222,0.570000171661377
736,33,0.04,lda,0.2222222222222222,0.6229279041290283
739,27,0.02,lda,0.2222222222222222,0.761415958404541
741,28,0.06,lda,0.2222222222222222,0.6423704624176025
742,29,0.02,lda,0.2222222222222222,0.5880234241485596
746,30,0.02,lda,0.2222222222222222,0.7384965419769287
747,31,0.02,lda,0.2222222222222222,0.6148586273193359
751,32,0.04,lda,0.2222222222222222,0.5108928680419922
763,18,0.04,lda,0.2222222222222222,0.5031821727752686
764,17,0.02,lda,0.2222222222222222,0.5599024295806885
778,16,0.04,lda,0.2222222222222222,0.5395874977111816
779,15,0.04,lda,0.2222222222222222,0.532301664352417
780,14,0.02,lda,0.2222222222222222,0.5176537036895752
781,13,0.02,lda,0.2222222222222222,0.5390219688415527
792,12,0.02,lda,0.2222222222222222,0.5424280166625977
794,11,0.02,lda,0.2222222222222222,0.4962501525878906
795,10,0.02,lda,0.2222222222222222,0.5582211017608643
801,9,0.02,lda,0.2222222222222222,0.7065274715423584
802,8,0.08,lda,0.2222222222222222,0.5660338401794434
808,7,0.02,lda,0.2222222222222222,0.5032150745391846
809,6,0.04,lda,0.2222222222222222,0.5595383644104004
817,5,0.02,lda,0.2222222222222222,0.5223636627197266
820,4,0.02,lda,0.2222222222222222,0.5898985862731934
823,3,0.02,lda,0.2222222222222222,0.6835260391235352
824,2,0.04,lda,0.2222222222222222,0.5869801044464111
831,25,0.02,lda,0.2222222222222222,0.6544408798217773
837,34,0.04,lda,0.2222222222222222,0.5201423168182373
