;0
Aatrox;0,0
Ahri;0,0
Akali;0,0
Akshan;0,0
Alistar;0,0
Amumu;0,0
Anivia;0,0
Annie;0,0
Aphelios;0,0
Ashe;0,0
AurelionSol;0,0
Azir;0,0
Bard;0,0
Belveth;0,0
Blitzcrank;0,0
Brand;0,0
Braum;0,0
Caitlyn;0,0
Camille;0,0
Cassiopeia;0,002857142857142858
Chogath;0,0
Corki;0,0
Darius;0,0
Diana;0,0
Draven;0,0
DrMundo;0,0
Ekko;0,0
Elise;0,0
Evelynn;0,0
Ezreal;0,0
Fiddlesticks;0,0
Fiora;0,0
Fizz;0,0
Galio;0,0
Gangplank;0,0
Garen;0,0
Gnar;0,0
Gragas;-0,008571428571428574
Graves;0,0
Gwen;0,0
Hecarim;0,0
Heimerdinger;0,0
Illaoi;0,0
Irelia;0,0
Ivern;0,0
Janna;0,0
JarvanIV;0,0
Jax;0,0
Jayce;0,0
Jhin;0,0
Jinx;0,0
Kaisa;0,0
Kalista;0,0
Karma;0,0
Karthus;0,0
Kassadin;0,0
Katarina;0,0
Kayle;0,0
Kayn;0,0
Kennen;0,0
Khazix;0,0
Kindred;0,0
Kled;0,0
KogMaw;0,0
KSante;-0,020000000000000007
Leblanc;0,0
LeeSin;0,0
Leona;0,0
Lillia;0,0
Lissandra;0,0
Lucian;0,005714285714285716
Lulu;0,0
Lux;0,0
Malphite;0,0
Malzahar;0,0
Maokai;-0,005714285714285716
MasterYi;0,0
Milio;0,0
MissFortune;0,0
MonkeyKing;0,025714285714285724
Mordekaiser;0,0
Morgana;0,0
Nami;0,0
Nasus;0,0
Nautilus;0,0
Neeko;0,0
Nidalee;0,0
Nilah;0,0
Nocturne;0,0
Nunu;0,0
Olaf;0,0
Orianna;0,0
Ornn;0,0
Pantheon;0,0
Poppy;0,0
Pyke;0,0
Qiyana;0,0
Quinn;0,0
Rakan;0,002857142857142858
Rammus;0,0
RekSai;0,0
Rell;0,0
Renata;0,0
Renekton;0,0
Rengar;0,0
Riven;0,0
Rumble;0,0
Ryze;0,0
Samira;0,0
Sejuani;0,002857142857142858
Senna;0,0
Seraphine;0,0
Sett;0,0
Shaco;0,0
Shen;0,0
Shyvana;0,0
Singed;0,0
Sion;0,0
Sivir;0,0
Skarner;0,0
Sona;0,0
Soraka;0,0
Swain;0,0
Sylas;0,005714285714285716
Syndra;0,0
TahmKench;0,0
Taliyah;0,0
Talon;0,0
Taric;0,0
Teemo;0,0
Thresh;0,0
Tristana;0,0
Trundle;0,0
Tryndamere;0,0
TwistedFate;0,0
Twitch;0,0
Udyr;0,0
Urgot;0,0
Varus;-0,02857142857142858
Vayne;0,0
Veigar;0,0
Velkoz;0,0
Vex;0,0
Vi;0,005714285714285716
Viego;0,0
Viktor;0,0
Vladimir;0,0
Volibear;0,0
Warwick;0,0
Xayah;0,0
Xerath;0,0
XinZhao;0,0
Yasuo;0,0
Yone;0,0
Yorick;0,0
Yuumi;0,0
Zac;0,0
Zed;0,0
Zeri;0,017142857142857147
Ziggs;0,0
Zilean;0,0
Zoe;0,0
Zyra;0,0
top_blue_champwr;0,02857142857142858
jng_blue_champwr;-0,040000000000000015
mid_blue_champwr;-0,04285714285714287
bot_blue_champwr;0,008571428571428574
sup_blue_champwr;0,03142857142857144
top_red_champwr;0,020000000000000007
jng_red_champwr;-0,005714285714285716
mid_red_champwr;-0,005714285714285716
bot_red_champwr;-0,020000000000000007
sup_red_champwr;-0,005714285714285716
