;Dataset;Model;Value;Number
0;all_games_champs_only;normal;blue;0,5347373517308158
1;all_games_champs_only;normal;Accuracy;0,55
2;all_games_champs_only;normal;Train_Accuracy;0,61
3;all_games_champs_only;autoencode;blue;0,5347373517308158
4;all_games_champs_only;autoencode;Accuracy;0,53
5;all_games_champs_only;autoencode;Train_Accuracy;0,82
6;all_games_champs_only;PCA;blue;0,5347373517308158
7;all_games_champs_only;PCA;Accuracy;0,55
8;all_games_champs_only;PCA;Train_Accuracy;0,75
9;all_games_champs_only;randsplit;blue;0,5347373517308158
10;all_games_champs_only;randsplit;Accuracy;0,58
11;all_games_champs_only;randsplit;Train_Accuracy;0,85
12;all_games_champ_stats_only;normal;blue;0,5347373517308158
13;all_games_champ_stats_only;normal;Accuracy;0,54
14;all_games_champ_stats_only;normal;Train_Accuracy;0,71
15;all_games_champ_stats_only;randsplit;blue;0,5347373517308158
16;all_games_champ_stats_only;randsplit;Accuracy;0,54
17;all_games_champ_stats_only;randsplit;Train_Accuracy;0,59
18;all_games_matchups;normal;blue;0,5347373517308158
19;all_games_matchups;normal;Accuracy;0,55
20;all_games_matchups;normal;Train_Accuracy;0,64
21;all_games_matchups;autoencode;blue;0,5347373517308158
22;all_games_matchups;autoencode;Accuracy;0,58
23;all_games_matchups;autoencode;Train_Accuracy;0,86
24;all_games_matchups;PCA;blue;0,5347373517308158
25;all_games_matchups;PCA;Accuracy;0,55
26;all_games_matchups;PCA;Train_Accuracy;0,82
27;all_games_matchups;randsplit;blue;0,5347373517308158
28;all_games_matchups;randsplit;Accuracy;0,55
29;all_games_matchups;randsplit;Train_Accuracy;0,86
30;all_games_pro_only;randsplit;blue;0,5286535176269607
31;all_games_pro_only;randsplit;Accuracy;0,59
32;all_games_pro_only;randsplit;Train_Accuracy;0,84
33;all_games_pro_only_small;randsplit;blue;0,5286535176269607
34;all_games_pro_only_small;randsplit;Accuracy;0,59
35;all_games_pro_only_small;randsplit;Train_Accuracy;0,79
36;all_games_pro_only_spring;randsplit;blue;0,5438917337234821
37;all_games_pro_only_spring;randsplit;Accuracy;0,56
38;all_games_pro_only_spring;randsplit;Train_Accuracy;0,88
39;all_games_pro_only_spring_small;randsplit;blue;0,5438917337234821
40;all_games_pro_only_spring_small;randsplit;Accuracy;0,56
41;all_games_pro_only_spring_small;randsplit;Train_Accuracy;0,89
42;all_games_simple_v2;normal;blue;0,5347373517308158
43;all_games_simple_v2;normal;Accuracy;0,56
44;all_games_simple_v2;normal;Train_Accuracy;0,65
45;all_games_simple_v2;autoencode;blue;0,5347373517308158
46;all_games_simple_v2;autoencode;Accuracy;0,56
47;all_games_simple_v2;autoencode;Train_Accuracy;0,74
48;all_games_simple_v2;randsplit;blue;0,5347373517308158
49;all_games_simple_v2;randsplit;Accuracy;0,58
50;all_games_simple_v2;randsplit;Train_Accuracy;0,75
51;all_games_with_patch;normal;blue;0,5347373517308158
52;all_games_with_patch;normal;Accuracy;0,58
53;all_games_with_patch;normal;Train_Accuracy;0,86
54;all_games_with_patch;autoencode;blue;0,5347373517308158
55;all_games_with_patch;autoencode;Accuracy;0,56
56;all_games_with_patch;autoencode;Train_Accuracy;0,84
57;all_games_with_region;normal;blue;0,5347373517308158
58;all_games_with_region;normal;Accuracy;0,58
59;all_games_with_region;normal;Train_Accuracy;0,85
60;all_games_with_region;autoencode;blue;0,5347373517308158
61;all_games_with_region;autoencode;Accuracy;0,54
62;all_games_with_region;autoencode;Train_Accuracy;0,86
63;europe_games_full;normal;blue;0,5364431486880467
64;europe_games_full;normal;Accuracy;0,61
65;europe_games_full;normal;Train_Accuracy;0,64
66;europe_games_full;autoencode;blue;0,5364431486880467
67;europe_games_full;autoencode;Accuracy;0,62
68;europe_games_full;autoencode;Train_Accuracy;0,89
69;europe_games_full;PCA;blue;0,5364431486880467
70;europe_games_full;PCA;Accuracy;0,52
71;europe_games_full;PCA;Train_Accuracy;0,82
72;europe_games_full;PCA_30;blue;0,5364431486880467
73;europe_games_full;PCA_30;Accuracy;0,46
74;europe_games_full;PCA_30;Train_Accuracy;0,89
75;europe_games_full;randsplit;blue;0,5364431486880467
76;europe_games_full;randsplit;Accuracy;0,6
77;europe_games_full;randsplit;Train_Accuracy;0,8
78;europe_games_full_champid;randsplit;blue;0,5364431486880467
79;europe_games_full_champid;randsplit;Accuracy;0,62
80;europe_games_full_champid;randsplit;Train_Accuracy;0,89
81;europe_games_simple;autoencode;blue;0,5429309231762427
82;europe_games_simple;autoencode;Accuracy;0,51
83;europe_games_simple;autoencode;Train_Accuracy;0,87
84;europe_games_simple;randsplit;blue;0,5429309231762427
85;europe_games_simple;randsplit;Accuracy;0,56
86;europe_games_simple;randsplit;Train_Accuracy;0,88
87;europe_games_stats_only;normal;blue;0,5364431486880467
88;europe_games_stats_only;normal;Accuracy;0,52
89;europe_games_stats_only;normal;Train_Accuracy;0,88
90;europe_games_stats_only;randsplit;blue;0,5364431486880467
91;europe_games_stats_only;randsplit;Accuracy;0,55
92;europe_games_stats_only;randsplit;Train_Accuracy;0,88
93;from_costaetal;randsplit;blue;0,4637323943661972
94;from_costaetal;randsplit;Accuracy;0,9
95;from_costaetal;randsplit;Train_Accuracy;0,97
96;from_costaetal_self;randsplit;blue;0,5350857652038316
97;from_costaetal_self;randsplit;Accuracy;0,59
98;from_costaetal_self;randsplit;Train_Accuracy;0,86
99;from_costaetal_self_org;randsplit;blue;0,5350857652038316
100;from_costaetal_self_org;randsplit;Accuracy;0,57
101;from_costaetal_self_org;randsplit;Train_Accuracy;0,87
102;from_costaetal_self_small;randsplit;blue;0,5350857652038316
103;from_costaetal_self_small;randsplit;Accuracy;0,57
104;from_costaetal_self_small;randsplit;Train_Accuracy;0,87
105;lec_games_full;normal;blue;0,5614035087719298
106;lec_games_full;normal;Accuracy;0,61
107;lec_games_full;normal;Train_Accuracy;0,88
108;lec_games_full;autoencode;blue;0,5614035087719298
109;lec_games_full;autoencode;Accuracy;0,49
110;lec_games_full;autoencode;Train_Accuracy;0,9
111;lec_games_full;PCA;blue;0,5614035087719298
112;lec_games_full;PCA;Accuracy;0,0
113;lec_games_full;PCA;Train_Accuracy;0,0
114;lec_games_full;randsplit;blue;0,5614035087719298
115;lec_games_full;randsplit;Accuracy;0,57
116;lec_games_full;randsplit;Train_Accuracy;0,91
117;lec_games_full_champid;randsplit;blue;0,5614035087719298
118;lec_games_full_champid;randsplit;Accuracy;0,54
