,count,mean,std,min,25%,50%,75%,max
bluetop,6439.0,65.838018325827,31.299989660812717,0.0,37.0,64.0,92.0,156.0
bluetopgp,6439.0,2.361080913185277,3.0903724393247236,0.0,0.0,1.0,3.0,25.0
bluetopwr,6439.0,0.3869653672930579,0.408763830851484,0.0,0.0,0.33,0.75,1.0
bluetopkda,6439.0,3.056937412641715,3.3375168002126925,0.0,0.0,2.2,5.085,24.0
bluejgl,6439.0,91.31107314800435,36.23792644323534,5.0,75.0,79.0,109.0,156.0
bluejglgp,6439.0,2.5901537505823886,3.3349192192295174,0.0,0.0,1.0,4.0,27.0
bluejglwr,6439.0,0.4020003106072372,0.40809752579006997,0.0,0.0,0.33,0.78,1.0
bluejglkda,6439.0,3.969931666407827,4.113576752078001,0.0,0.0,3.2,6.625,26.0
bluemid,6439.0,68.28498214008387,53.35399965263482,0.0,11.0,65.0,124.0,161.0
bluemidgp,6439.0,1.6185743127814878,2.184529272903859,0.0,0.0,1.0,2.0,20.0
bluemidwr,6439.0,0.3579468861624475,0.42049805855298106,0.0,0.0,0.0,0.75,1.0
bluemidkda,6439.0,3.658870942692965,4.381778997642441,0.0,0.0,2.0,6.5,26.0
blueadc,6439.0,87.30750116477714,57.02698677668739,8.0,29.0,70.0,149.0,159.0
blueadcgp,6439.0,2.408137909613294,3.027866167458907,0.0,0.0,1.0,3.0,21.0
blueadcwr,6439.0,0.3968100636744836,0.4063088375836569,0.0,0.0,0.33,0.75,1.0
blueadckda,6439.0,4.304683957136201,4.331283472169254,0.0,0.0,3.67,7.25,24.0
bluesup,6439.0,77.24118651964591,36.7699928759919,4.0,67.0,82.0,98.0,162.0
bluesupgp,6439.0,1.7920484547289952,2.4469060061499945,0.0,0.0,1.0,3.0,26.0
bluesupwr,6439.0,0.3676378319614847,0.42059152479285167,0.0,0.0,0.0,0.8,1.0
bluesupkda,6439.0,3.9222053113837556,4.632733217888052,0.0,0.0,2.33,6.67,27.0
redtop,6439.0,63.76331728529275,31.700361307767338,0.0,37.0,62.0,92.0,158.0
redtopgp,6439.0,2.1445876688926853,2.926838798008518,0.0,0.0,1.0,3.0,23.0
redtopwr,6439.0,0.3660242273644976,0.40905790053049174,0.0,0.0,0.0,0.75,1.0
redtopkda,6439.0,2.918187606771238,3.3555515324900753,0.0,0.0,1.92,5.0,22.0
redjgl,6439.0,92.90619661438112,36.28789080916561,5.0,75.0,79.0,126.0,157.0
redjglgp,6439.0,2.460164621835689,3.247039233137115,0.0,0.0,1.0,3.0,26.0
redjglwr,6439.0,0.3811461407050784,0.4043082182756964,0.0,0.0,0.33,0.75,1.0
redjglkda,6439.0,3.7721307656468395,4.041081358627669,0.0,0.0,2.78,6.27,27.0
redmid,6439.0,69.07097375368846,54.3343213683941,0.0,11.0,65.0,124.0,161.0
redmidgp,6439.0,1.556142258114614,2.1801248063180383,0.0,0.0,1.0,2.0,21.0
redmidwr,6439.0,0.34369312004969715,0.41924953618948047,0.0,0.0,0.0,0.75,1.0
redmidkda,6439.0,3.505168504426153,4.368452295378884,0.0,0.0,1.6,6.25,29.0
redadc,6439.0,87.23000465910856,58.39833111136043,8.0,29.0,70.0,149.0,159.0
redadcgp,6439.0,2.4541077807112908,3.0619113568272094,0.0,0.0,1.0,4.0,22.0
redadcwr,6439.0,0.3924413728839882,0.40346707689741745,0.0,0.0,0.33,0.75,1.0
redadckda,6439.0,4.303197701506445,4.345519373296075,0.0,0.0,3.53,7.215,28.0
redsup,6439.0,75.89097685976083,37.48818073190123,1.0,53.0,82.0,98.0,162.0
redsupgp,6439.0,1.8243516073924522,2.5621913938526646,0.0,0.0,1.0,3.0,27.0
redsupwr,6439.0,0.35702593570430197,0.4167103947235218,0.0,0.0,0.0,0.75,1.0
redsupkda,6439.0,3.686754154371797,4.471277114790772,0.0,0.0,2.01,6.33,26.0
