,count,mean,std,min,25%,50%,75%,max
bluetop,4489.0,61.333704611272,41.55680376374009,0.0,36.0,43.0,103.0,156.0
bluetopgp,4489.0,1.5504566718645578,2.097385136930378,0.0,0.0,1.0,2.0,17.0
bluetopwr,4489.0,0.35005569169079975,0.4180628353859018,0.0,0.0,0.0,0.75,1.0
bluetopkda,4489.0,2.988168857206505,3.793451592997456,0.0,0.0,1.47,5.0,23.0
bluejgl,4489.0,81.11049231454668,35.638882496381754,0.0,40.0,86.0,119.0,156.0
bluejglgp,4489.0,1.5941189574515482,2.120715495142186,0.0,0.0,1.0,2.0,20.0
bluejglwr,4489.0,0.35729338382713294,0.4214165840382568,0.0,0.0,0.0,0.75,1.0
bluejglkda,4489.0,3.7550389841835594,4.4234137769999515,0.0,0.0,2.17,6.5,26.0
bluemid,4489.0,93.03809311650701,49.266311499536904,0.0,53.0,106.0,134.0,161.0
bluemidgp,4489.0,1.4257072844731566,2.0338859184944575,0.0,0.0,1.0,2.0,20.0
bluemidwr,4489.0,0.3384517709957674,0.4211845456874462,0.0,0.0,0.0,0.75,1.0
bluemidkda,4489.0,3.528906215192693,4.3809806977180585,0.0,0.0,1.4,6.5,26.0
blueadc,4489.0,75.88995321897973,44.51259519747629,0.0,51.0,51.0,110.0,159.0
blueadcgp,4489.0,2.015816440187124,2.8042921740279363,0.0,0.0,1.0,3.0,30.0
blueadcwr,4489.0,0.37323011806638445,0.4153082750192604,0.0,0.0,0.0,0.75,1.0
blueadckda,4489.0,4.052196480285141,4.500773614991223,0.0,0.0,2.8,7.0,23.0
bluesup,4489.0,72.57963911784361,43.68514744880399,4.0,33.0,84.0,101.0,162.0
bluesupgp,4489.0,1.6988193361550457,2.2677701785122277,0.0,0.0,1.0,2.0,19.0
bluesupwr,4489.0,0.35817554020940073,0.41563016114611834,0.0,0.0,0.0,0.75,1.0
bluesupkda,4489.0,3.149908665627088,3.876553867697524,0.0,0.0,1.75,5.32,25.0
redtop,4489.0,60.02227667631989,41.04228551882578,0.0,34.0,43.0,103.0,154.0
redtopgp,4489.0,1.4399643573178882,2.031397400756148,0.0,0.0,1.0,2.0,14.0
redtopwr,4489.0,0.32842281131655154,0.41322587338951766,0.0,0.0,0.0,0.67,1.0
redtopkda,4489.0,2.750064602361328,3.5730396405594504,0.0,0.0,1.0,4.83,22.0
redjgl,4489.0,76.24058810425484,34.386947493821346,0.0,40.0,68.0,93.0,161.0
redjglgp,4489.0,1.5504566718645578,2.072484492233591,0.0,0.0,1.0,2.0,19.0
redjglwr,4489.0,0.3400245043439519,0.4131884675763401,0.0,0.0,0.0,0.7,1.0
redjglkda,4489.0,3.5969592336823344,4.299916199322808,0.0,0.0,2.0,6.25,26.0
redmid,4489.0,91.84807306749833,50.427071787242,0.0,43.0,93.0,134.0,161.0
redmidgp,4489.0,1.4047672087324572,2.083780949154249,0.0,0.0,1.0,2.0,18.0
redmidwr,4489.0,0.330621519269325,0.4202853112603848,0.0,0.0,0.0,0.75,1.0
redmidkda,4489.0,3.4281532635330807,4.3803096222170455,0.0,0.0,1.2,6.21,26.0
redadc,4489.0,76.32991757629762,46.153328877816605,4.0,50.0,51.0,118.0,159.0
redadcgp,4489.0,1.9585653820449989,2.878801569433381,0.0,0.0,1.0,3.0,31.0
redadcwr,4489.0,0.3604054355090221,0.41327289772236336,0.0,0.0,0.0,0.75,1.0
redadckda,4489.0,3.8907039429717085,4.331690007257056,0.0,0.0,2.51,6.83,27.0
redsup,4489.0,70.0013366005792,43.872653361839305,4.0,33.0,81.0,101.0,162.0
redsupgp,4489.0,1.6609489864112275,2.24541344551329,0.0,0.0,1.0,2.0,18.0
redsupwr,4489.0,0.3465515705056806,0.4130622938801616,0.0,0.0,0.0,0.72,1.0
redsupkda,4489.0,3.0581131655157052,3.889769252698754,0.0,0.0,1.56,5.02,25.0
